"publ_id","publ_titulo","publ_ano","publ_doi","publ_numero","publ_volumen","publ_paginainicio","publ_paginafinal","publ_issn"
10281,"Agroclimatic zoning: a planning strategy for agricultural and livestock systems in Alta Guajira, Colombia","2019","10.17584/rcch.2019v13i3.9648","3","13","435","447","2422-3719"
8722,"Agroclimatic zoning methodology for agricultural production systems in dry Caribbean region of Colombia","2016","10.15446/agron.colomb.v34n3.59672","3","34","374","384","['2357-3732', '0120-9965']"
8723,"Agroindustrial performance of sugarcane varieties for panela in Antioquia, Colombia","2017","10.15446/rfna.v70n3.66329","3","70","8303","8310","['2248-7026', '0304-2847']"
9552,"Agro industrial yield of ten sugar cane varieties for production of panela in Santander, Colombia","2014",NULL,"2","15","183","195",NULL
8724,"Agronomic and physiological evaluation of eight cassava clones under water deficit conditions.","2020","10.15446/rfnam.v73n1.75402","1","73","9109","9119","['2248-7026', '0304-2847']"
9845,"Agronomic evaluation of a colombian passion fruit (Passiflora Edulis sims) germplasm collection","2018","10.15159/ar.18.190","4","16","1649","1659","1406894X"
8725,"Agronomic evaluation of biofortified beans in Antioquia producers’ farms","2020","10.15446/rfnam.v73n2.75588","2","73","9143","9149","['2248-7026', '0304-2847']"
8727,"Agronomic Evaluation of Bunching Onion in the Colombian Cundiboyacense High Plateau","2018","10.1155/2018/4940589",NULL,"2018","1","8","['1687-8159', '1687-8167']"
9553,"Agronomic evaluation of forages with inclusion of dolomite amendment in Nariño, Colombia","2020",NULL,"4","43","345","351",NULL
10430,"Agronomic, management and socio-economic factors that affect the productive yield of cocoa cultivation. A case study in Colombia.","2021",NULL,"2","20","59","74","2346-9129, 1666-7719"
10375,"Agrosavia La 22: First variety of arracacha in Colombia","2021",NULL,"2","12","355","363","2007-0934"
8688,"A herbivore-induced plant volatile interferes with host plant and mate location in moths through suppression of olfactory signalling pathways","2015","10.1186/s12915-015-0188-3","1","13",NULL,NULL,"['1741-7007']"
7719,"Ahorro de combustible y energía en hornos usados para la elaboración de panela modificando el diseño de pailas abiertas-","2011",NULL,NULL,"9","53","61","2145-8502"
4945,"Aislamiento e incremento de Phytophthora infestans en papa.","1991",NULL,"1","17","3","5",NULL
4799,"Aislamiento, patrón de fermentación de carbohidratos y caracterización morfológica de bacterias celulolíticas del rumen de bovinos alimentados con heno de raigrás en Colombia.","1996",NULL,"1",NULL,"23","28",NULL
4875,"Ajuste de los factores de longitud pendiente de la ecuación universal de pérdida del suelo en la cuenca del río Combeima municipio de Ibagué.","1998",NULL,"11","5","139",NULL,NULL
6350,"Ajuste de un modelo matemático para la combustión de bagazo de caña en una cámara Ward-Cimpa","2014","10.21930/rcta.vol15_num2_art:355",NULL,NULL,NULL,NULL,"2500-5308 (e-issn)||0122-8706"
8728,"AK-ILS: An Active learning method based on Kriging for the Inspection of Large Surfaces","2013","10.1016/j.precisioneng.2012.07.007","1","37","1","9","['0141-6359']"
8729,"Alecanochiton marquesi (Hemiptera: Coccomorpha: Coccidae), a new record for Colombia and Costa Rica, and description of its first-instar nymph","2018","10.15446/caldasia.v40n2.69451","2","40","246","254","['2357-3759', '0366-5232']"
4784,"Algunos aspectos de gastroenteritis parasitaria en terneros de ganado doble propósito en el Piedemonte Llanero.","1998",NULL,"1","23","8","11",NULL
4909,"Algunos estudios de alelopatia de Rumex crispus L. y Polygonum segetum H.B.K., en Colombia.","2003",NULL,"1","4","42","48",NULL
8730,"Aligning Strategic Objectives with Research and Development Activities in a Soft Commodity Sector: A Technological Plan for Colombian Cocoa Producers","2020","10.3390/agriculture10050141","5","10","141",NULL,"['2077-0472']"
8731,"Allelic Diversity at Abiotic Stress Responsive Genes in Relationship to Ecological Drought Indices for Cultivated Tepary Bean, Phaseolus acutifolius A. Gray, and Its Wild Relatives","2021","10.3390/genes12040556","4","12","556",NULL,"['2073-4425']"
8721,"ALLEVIATION OF ALUMINUM IN ACIDIC SOILS AND ITS EFFECT ON GROWTH OF HYBRID AND CLONAL OIL PALM SEEDLINGS","2011","10.1080/01904167.2011.536880","3","34","387","401","['0190-4167', '1532-4087']"
10040,"Alta presencia de cadmio resulta en baja diversidad de hongos formadores de micorrizas arbusculares asociados a cacao (Theobroma cacao L.)","2020","10.15446/abc.v25n3.78746","3","25","333","344","['1900-1649', '0120-548X']"
9891,"Alteraciones anatómicas e histoquímicas ocasionadas por la oidiosis en hojas de Hydrangea macrophylla (Hydrangeaceae)","2020","10.15517/rbt.v68i3.40431","3","68","959","959","['2215-2075', '0034-7744']"
6298,"Alternate bearing and phenology of ‘Valencia’ orange (Citrus sinensis [L.] Osbeck) in the lowland wet tropics of Colombia||Alternancia de la producción y comportamiento fenológico de la naranja ‘Valencia’ (Citrus sinensis [L.] Osbeck) en el trópico bajo húmedo de Colombia","2013",NULL,NULL,NULL,NULL,NULL,NULL
4950,"Alternativas agronómicas para la recuperación de suelos algodoneros degradados en el Valle del Cesar.","2000",NULL,"1","30","86","92",NULL
8732,"Alternative control of Tetranychus evansi Baker &amp; Pritchard (Acari: Tetranychidae) on tomato plants grown in greenhouses","2010","10.1590/s1519-566x2010000400027","4","39","638","644","['1519-566X']"
8733,"Alternatives for the production of microbial biopesticides based on fungi: the case of Latin America and the Caribbean","2018","10.17268/sci.agropecu.2018.04.15","4","9","585","604","['2306-6741']"
9885,"Altoandina: nueva variedad de avena forrajera para la zona Andina en Colombia","2020","10.15517/am.v31i3.38999",NULL,"31","581","595","['2215-3608', '1659-1321']"
10191,"Amaryllidaceae: Potential Source of Alkaloids. Biological and Pharmacological Activities","2020","10.19053/01228420.v17.n3.2020.11379","3","17","78","94","0122-8420"
8734,"Ammonium overaccumulation in senescent leaves as a novel exclusion mechanism to avoid toxicity in photosynthetically active rice leaves","2021","10.1016/j.envexpbot.2021.104452",NULL,"186","104452",NULL,"['0098-8472']"
4728,"Análisis de coyuntura - cultivos transitorios en rotación, Valle del Cauca.","2004",NULL,"1","1","9","12",NULL
9889,"Análisis de diversidad genética en cerdo criollo san pedreño utilizando datos de pedigrí","2019","10.19136/era.a6n17.2049","17","6","333","341","['2007-901X', '2007-9028']"
4769,"Análisis de estabilidad fenotípica mediante el sistema SAS","1992",NULL,"61","27","49",NULL,"0018-8794"
10372,"Análisis de eventos climáticos extremos asociados a excesos de lluvia y heladas meteorológicas en el Altiplano Cundiboyacense de Colombia","2021",NULL,NULL,"21","112","126","1578-8768"
9888,"Análisis de indicadores epidemiológicos: Brucelosis bovina en la Costa Atlántica y Antioquia - Colombia, 2005-2013","2017","10.21897/rmvz.1073","supl","22","6034","6043","['1909-0544', '0122-0268']"
4681,"Análisis de la diversidad genética de accesiones de Theobroma cacao L. del banco de conservación a cargo de CORPOICA.","2007",NULL,"2","8","26","31",NULL
6555,"Análisis de las dimensiones sociales, productivas y de gobernanza de la cadena de Physalis peruviana: un estudio de caso de la zona interandina en Ecuador","2020",NULL,"2","21","1","19",NULL
4861,"Análisis de las fortalezas, limitantes, oportunidades y amenazas de la producción de fríjol soya en el Meta.","2002",NULL,NULL,NULL,"51","56",NULL
9887,"Análisis de las preferencias del consumidor por las hortalizas  frescas en el Caribe colombiano","2019","10.21897/rta.v24i2.2070","2","24","119","128","['2389-9182']"
6234,"Análisis del mercado de piña Gold y Perolera en dos principales centrales mayoristas de Colombia","2016","10.21930/rcta.vol17_num2_art:486",NULL,NULL,NULL,NULL,NULL
4922,"Análisis de poblaciones de micorrizas en maíz (Zea mayz) cultivado en suelos ácidos bajo diferentes tratamientos agronómicos.","2004",NULL,NULL,NULL,"31","40",NULL
9890,"Análisis de rachas de lluvia para el manejo de cultivos de caña, Saccharum officinarum, en el valle del río Cauca, Colombia","2021","10.15446/acag.v70n2.91757","2","70",NULL,NULL,"['2323-0118', '0120-2812']"
4941,"Análisis de rentabilidad de la investigación agrícola en Corpoica 1994- 2003.","2005",NULL,"4","1","19","23",NULL
6652,"Análisis de riesgo potencial de Huanglongbing a través de tecnología geoespacial en Colombia","2020",NULL,"3","21","1","23",NULL
6558,"Análisis de tendencias en investigación básica para cadenas productivas agroindustriales","2013","10.21930/rcta.vol13_num2_art:247",NULL,NULL,NULL,NULL,"2500-5308 (e-issn)||0122-8706"
4724,"Análisis económico de producción de leche bajo tres sistemas productivos simulados","1989",NULL,NULL,"24","474","482","0018 - 8794"
4933,"Análisis estadístico de medidas repetidas, 1. Se cumple el supuesto de un patrón de varianza y covarianza homogéneas.","1996",NULL,"1",NULL,"48","51",NULL
6230,"Análisis experimental de la evaporación del jugo de caña de azúcar en película sobre una placa plana","2013",NULL,NULL,NULL,NULL,NULL,NULL
10084,"Análisis nutricional y niveles de extracción del mango ‘Azúcar’ en el Departamento del Magdalena, Colombia","2021","10.51372/bioagro332.2","2","33","79","90","['2521-9693', '1316-3361']"
10364,"Analisis of competitiveness of the yellow maize within chain avicola in Colombia 1999- 2005","2016","10.24054/01204211.v2.n2.2005.1930","2","2","4","8","2500-9338"
10126,"Análisis prospectivo de los bioinsumos agrícolas en Colombia: una consulta a expertos","2015","10.15446/rev.colomb.biote.v17n2.48472","2","17","103","113","['1909-8758', '0123-3475']"
10130,"Análisis retrospectivo de caracteres reproductivos en hembras bovinas criollas colombianas Romosinuano","2021","10.21930/rcta.vol22_num1_art:1804","1","22",NULL,NULL,"['2500-5308', '0122-8706']"
10152,"Análisis socioeconómico del cultivo de fríjol en Cundinamarca (Colombia), para la identificación de un Sistema Agroalimentario Localizado (SIAL)","2020","10.35588/rivar.v7i21.4622","21","7","13","32","['0719-4994']"
10280,"Analysis of an agricultural production system in the Caribbean: Production technology, cost pattern and economic indicators of squash production","2022","10.14482/ecoca.23.3033","23",NULL,"46","69","2011-2106"
8740,"Analysis of an illustrative interaction between structural features and earthworm populations in Brazilian ferralsols","2012","10.1016/j.crte.2011.12.001","1","344","41","49","['1631-0713']"
8743,"Analysis of domestic animal movements in Colombia (2006–2014) and their possible influence on the bovine brucellosis spread","2018","10.1007/s11250-018-1701-9","2","51","383","388","['0049-4747', '1573-7438']"
10378,"Analysis of economic losses due to diseases in the buffalo production system in the department of Córdoba, Colombia","2021","10.19053/01228420.v18.n2.2021.12582","2","18","43","54","2539-0899"
9555,"Analysis of extreme climatic events associated with excessive rainfall and meteorological frosts in the Cundiboyacense Altiplano of Colombia","2021",NULL,NULL,"21","112","126",NULL
9556,"ANALYSIS OF PURPLE PASSION FRUIT (Passiflora edulis Sims) GROWTH UNDER ECOLOGICAL CONDITIONS OF THE COLOMBIAN LOWER MONTANE RAIN FOREST","2014",NULL,"2","17","391","400",NULL
8744,"Analysis of the growth and morpho-physiological performance of three cultivars of Colombian quinoa grown under a greenhouse","2020","10.5965/223811711912020073","1","19","73","83","['2238-1171', '1676-9732']"
10377,"Analysis of the technical efficiency of yam cultivation (Dioscorea spp.) in the Caribbean Region of Colombia","2021","10.17584/rcch.2021v15i2.12445","2","15","e12445","e12445","2422-3719"
8745,"Analysis of the Thermal Behavior of a New Structure of Protected Agriculture Established in a Region of Tropical Climate Conditions","2021","10.3390/fluids6060223","6","6","223",NULL,"['2311-5521']"
9497,"Analysis of tomato seedling cell death in response to copper and paraquat induction","2011",NULL,"3","36","169","177","19825676"
10371,"Analysis of vegetative seed production alternatives of Arracacia xanthorrhiza Bancroft in Tolima, Colombia","2021",NULL,"3","18","1","14","0122-8420, 2539-0899"
8735,"An analytical model to evaluate the performance of associative seed producer organizations in the framework of Plan Semilla - Agrosavia (Colombia)","2019","10.15446/agron.colomb.v37n2.76948","2","37","173","188","['2357-3732', '0120-9965']"
4962,"Anaplasma Marginale: evaluación de dosis mínima infectiva","1983",NULL,"4",NULL,"p.329","334","0018-8794"
9557,"Anatomy of sugar apple (Annona squamosa L.) seeds (Annonaceae)","2013",NULL,"3","31","279","287","1209965"
8746,"Ancestry informative alleles captured with reduced representation library sequencing in Theobroma cacao","2018","10.1371/journal.pone.0203973","10","13","e0203973",NULL,"['1932-6203']"
8737,"An engineering approach to design a non-centrifugal cane sugar production module: A heat transfer study to improve the energy use","2020","10.1016/j.jfoodeng.2019.109843",NULL,"274","109843",NULL,"['0260-8774']"
8697,"A newly recognised species of Cryptes Maskell 1892 (Hemiptera: Coccidae) from Western Australia","2018","10.11646/zootaxa.4508.1.6","1","4508","101","101","['1175-5334', '1175-5326']"
8698,"A newly recognised species that has been confused with the global polyphagous pest scale insect, Coccus hesperidum Linnaeus (Hemiptera: Coccomorpha: Coccidae)","2017","10.11646/zootaxa.4320.3.10","3","4320","571","571","['1175-5334', '1175-5326']"
8689,"A new method for the inoculation of Phytophthora palmivora (Butler) into cacao seedlings under greenhouse conditions","2020","10.1186/s13007-020-00656-8","1","16",NULL,NULL,"['1746-4811']"
8690,"A New Methodology Based on Level Sets for Target Detection in Hyperspectral Images","2016","10.1109/tgrs.2016.2562019","9","54","5385","5396","['0196-2892', '1558-0644']"
9543,"A new species and species distribution records of Neoleucinodes (Lepidoptera: Crambidae: Spilomelinae) from Colombia feeding on Solanum sp.","2007",NULL,"4","109","897","908","138797"
8691,"A new species of Crypticerya Cockerell (Hemiptera: Monophlebidae) from Colombia, with a key to species of the tribe iceryini found in South America","2009","10.1590/s1519-566x2009000100009","1","38","92","100","['1519-566X']"
8692,"A New Species of Eoreuma Ely (Pyraloidea: Crambidae: Crambinae) Feeding on Sugarcane from Colombia","2020","10.4289/0013-8797.122.2.471","2","122","471","471","['0013-8797']"
8694,"A new species of Mesostenus Gravenhorst (Hymenoptera: Ichneumonidae: Cryptinae) from Colombia","2017","10.11646/zootaxa.4306.4.9","4","4306","593","593","['1175-5334', '1175-5326']"
8695,"A new species of Paratachardina Balachowsky (Hemiptera: Coccoidea: Kerriidae) related to the lobate lac scale, P. pseudolobata Kondo &amp; Gullan","2011","10.1016/j.aspen.2010.09.003","1","14","141","146","['1226-8615']"
9544,"A new species of Toumeyella Cockerell (Hemiptera: Coccoidea: Coccidae) on coffee roots, Coffea arabica L. (Rubiaceae), from Colombia and Venezuela","2013",NULL,"1","14","39","51",NULL
8747,"Anhydrobiotic engineering for the endophyte bacterium Kosakonia radicincitans by osmoadaptation and providing exogenously hydroxyectoine","2019","10.1007/s11274-019-2780-0","1","36",NULL,NULL,"['0959-3993', '1573-0972']"
8738,"An immunological method for granulovirus detection in larvae of<i>Tuta absoluta</i>: searching for isolates with prospects for biological control of this pest in Colombia","2014","10.1080/09670874.2014.941043","2","60","136","143","['0967-0874', '1366-5863']"
6238,"Annual trends of the Coffee Degree Day and Coffee Borer Degree Day in the equatorial Andean region in Colombia||Tendencia anual de los grados día cafeto y los grados día broca en la región andina ecuatorial de Colombia","2015",NULL,NULL,NULL,NULL,NULL,NULL
8498,"Annular spot and chlorotic ring spot in Elaeis guineensis and OxG hybrids at the nursery stage in Tumaco, Colombia-","2010",NULL,NULL,"34","33","39",NULL
8699,"A novel Transposable element‐derived microRNA participates in plant immunity to rice blast disease","2021","10.1111/pbi.13592","9","19","1798","1811","['1467-7644', '1467-7652']"
8700,"A Novel Virus of the Genus <i>Cilevirus</i> Causing Symptoms Similar to Citrus Leprosis","2013","10.1094/phyto-07-12-0177-r","5","103","488","500","['0031-949X', '1943-7684']"
8702,"A novel way of assessing C dynamics during urban organic waste composting and greenhouse gas emissions in tropical region","2018","10.1016/j.biteb.2018.02.002",NULL,"3","35","42","['2589-014X']"
9554,"An overview of a fortuitous and efficient biological control of the Colombian fluted scale, Crypticerya multicicatrices Kondo, Unruh (Hemiptera: Monophlebidae: Iceryini), on San Andres island, Colombia","2014",NULL,NULL,"66","87","93","3240770"
8739,"An overview of the physical and biochemical transformation of cocoa seeds to beans and to chocolate: Flavor formation","2019","10.1080/10408398.2019.1581726","10","60","1593","1613","['1040-8398', '1549-7852']"
10296,"Antagonistic Potential of Trichoderma Spp. Strains  Against Foliar Tree Pathogens in Parks of the Eastern  Mountains of Bogota","2020","10.18359/rfcb.3899","2","15","107","115","2500-5316"
9558,"Ant composition and competitive interactions with Wasmannia auropunctata in Tropical Dry Forest fragments","2008",NULL,"2","34","209","216","1200488"
8749,"Anthelmintic effect of four extracts obtained from Caesalpinia coriaria foliage against the eggs and larvae of Haemonchus contortus","2021","10.1590/s1984-29612021057","3","30",NULL,NULL,"['1984-2961', '0103-846X']"
8748,"Ant (Hymenoptera: Formicidae) species diversity in secondary forest and three agricultural land uses of the Colombian Pacific Coast","2021","10.35249/rche.47.3.21.01","3","47","441","458","['0034-740X', '0718-8994']"
8750,"Antimicrobial activity of Cymbopogon citratus (Poaceae) essential oil on Streptococcus mutans biofilm and cytotoxic effect on keratinocytes and fibroblasts","2018","10.15517/rbt.v66i4.33140","4","66","1519","1519","['2215-2075', '0034-7744']"
10257,"Antimicrobial evaluation of extracts  obtained from  tithonia diversifolia  (hemsl.)  a. gray with potential use in the dairy  industry","2020","10.33132/01248146.1596","40","22","215","224","2538-9580"
8751,"Antimicrobial Resistance in <i>Salmonella enterica</i> Serovar Paratyphi B Variant Java in Poultry from Europe and Latin America","2020","10.3201/eid2606.191121","6","26","1164","1173","['1080-6040', '1080-6059']"
9560,"Antioxidant activity and inhibition of lipid peroxidation of mortiño fruits extracts (Vaccinium meridionale SW","2009",NULL,"6","8","519","528","7177917"
8752,"Antioxidant activity of curcuminoids","2019","10.1039/c8cp06708b","7","21","3752","3760","['1463-9076', '1463-9084']"
9561,"Antioxidant and antimicrobial potential of aqueous and hidroalcoholic extracts of granadilla (Passiflora ligularis)","2014",NULL,"3","63",NULL,NULL,"1202812"
8753,"Antioxidant and Neuroprotective Properties of Non-Centrifugal Cane Sugar and Other Sugarcane Derivatives in an In Vitro Induced Parkinson’s Model","2021","10.3390/antiox10071040","7","10","1040",NULL,"['2076-3921']"
8754,"Aphid-infested beans divert ant attendance from the rosy apple aphid in apple-bean intercropping","2020","10.1038/s41598-020-64973-7","1","10",NULL,NULL,"['2045-2322']"
4682,"Aplicación de ácido alfa-naftalen acético en colinos de arracacha (Arracacia xanthorriza Bancroft)","2012",NULL,"2",NULL,"213","224",NULL
6452,"Aplicación de diseños estadísticos secuenciales en la identificación de fuentes nutricionales para  Azotobacter chroococcum AC1.","2011","10.21930/rcta.vol12-num2",NULL,NULL,NULL,NULL,"2500-5308 (e-issn)||0122-8706"
4834,"Aplicación de la Espectroscopia de Reflectancia en el Infrarojo Cercano (NIRS) para la caracterización nutricional del pasto Guinea y del grano de maíz.","2004",NULL,NULL,NULL,"49","55",NULL
9893,"Aplicación de la espectroscopia NIR para la predicción de sólidos solubles en pulpa de guayaba","2014","10.15446/acag.v64n2.40107","2","64","103","109","['2323-0118', '0120-2812']"
6638,"Aplicación de una metodología de análisis de datos obtenidos por percepción remota orientados a la estimación de la productividad de caña para panela al cuantificar el NDVI (índice de vegetación de diferencia normalizada)","2015","10.21930/rcta.vol16_num1_art:377",NULL,NULL,NULL,NULL,"2500-5308 (e-issn)||0122-8706"
4756,"Aplicación de una metodología para cuantificar la digestibilidad intestinal proteica en rumiantes.","2005",NULL,"1","6","43","48",NULL
6367,"Aplicaciones de la bacteria entomopatógena Bacillus thuringiensis en el control de fitopatógenos","2011","10.21930/rcta.vol12_num2_art:222",NULL,NULL,NULL,NULL,"2500-5308 (e-issn)||0122-8706"
6617,"Aplicaciones del modelo WAVE: simulación del crecimiento del cultivo y del movimiento del agua y los agroquímicos en la zona no saturada del suelo.","2003","10.21930/rcta.vol4_num1_art:11",NULL,NULL,NULL,NULL,"2500-5308 (e-issn)||0122-8706"
8703,"A Population-Based Approach to Study the Effects of Growth and Division Rates on the Dynamics of Cell Size Statistics","2021","10.1109/lcsys.2020.3005069","2","5","725","730","['2475-1456']"
4679,"Aportes de la investigación en cítricos al manejo agroecológico del cultivo en el piedemonte del departamento del Meta, Colombia","2012",NULL,"2",NULL,"85","97",NULL
6233,"Application of the Cornell Net Carbohydrate and Protein System for tropical conditions||Aplicación del sistema de carbohidratos y proteína neta de Cornell para condiciones tropicales","2001",NULL,NULL,NULL,NULL,NULL,NULL
8755,"Applied research on dairy cattle feeding systems in Colombian high tropics","2019","10.22267/rcia.193602.122","2","36","108","122","['2256-2273', '0120-0135']"
6624,"Aprendizaje introductorio sobre la ciencia del suelo a través de un curso MOOC","2018","10.21930/rcta.vol19_num3_art:649",NULL,NULL,NULL,NULL,"2500-5308 (e-issn)||0122-8706"
8704,"A protein kinase binds the C-terminal domain of the readthrough protein of Turnip yellows virus and regulates virus accumulation","2015","10.1016/j.virol.2015.08.031",NULL,"486","44","53","['0042-6822']"
4919,"Aproximación a la prevalencia serológica real de la leptospirosis en porcinos-cría.","2001",NULL,"2",NULL,"11","16",NULL
